Term,Definition
Active Management,An investment strategy where a manager makes specific investments with the goal of outperforming a benchmark index.
Alpha,The excess return on an investment relative to the return of a benchmark index.
Alternative Investment,"An asset that does not fall into one of the conventional investment categories, such as stocks, bonds, or cash."
Annuity,"A financial product that provides a stream of payments to an individual, typically after retirement."
Asset Class,A group of securities with similar characteristics and behavior in the marketplace.
Balanced Fund,A mutual fund that invests in a mix of equities and fixed-income securities.
Beta Coefficient,A measure of an asset’s risk in relation to the overall market.
Blue Ocean Strategy,An investment strategy targeting untapped markets rather than competing in existing industries.
Buy and Hold,An investment strategy where securities are purchased and held for a long period regardless of fluctuations.
Capital Appreciation,An increase in the value of an asset over time.
Closed-End Fund,An investment fund with a fixed number of shares that are traded on exchanges.
Collectibles,"Items such as art, antiques, and rare coins held as investments."
Commodity,A basic good used in commerce that is interchangeable with other goods of the same type.
Commodity ETF,An exchange-traded fund that invests in commodities or commodity-linked instruments.
Common Stock,A type of equity security representing ownership in a corporation and a claim on part of its profits.
Convertible Security,"A security that can be converted into another form, such as a bond convertible into stock."
Core-Satellite Strategy,A portfolio management approach that combines passive investments (core) with actively managed investments (satellite).
Cryptocurrency,A digital currency secured by cryptography and based on decentralized networks.
Currency Hedging,A strategy used to minimize the risk of currency fluctuations in international investments.
Defensive Stock,A stock that provides consistent dividends and stable earnings regardless of market conditions.
Direct Investment,"An investment made directly into a business or project, rather than through a fund."
Diversified Fund,A fund that invests across a wide range of assets to reduce risk.
Dividend Growth Investing,An investment strategy focused on companies with a history of consistently growing dividends.
Emerging Market Fund,A fund that invests in securities from developing economies.
Equity Fund,A mutual fund or ETF that invests primarily in stocks.
ESG Investing,"Investment strategies that consider environmental, social, and governance factors."
ETF of ETFs,An exchange-traded fund that invests primarily in other ETFs.
Exchange Fund,A fund that allows investors to diversify by pooling their concentrated stock positions.
Factor Investing,An investment approach that targets specific drivers of return across asset classes.
Fixed-Income Fund,A mutual fund or ETF that invests primarily in bonds or other debt securities.
Frontier Market,A type of developing country market that is less advanced than emerging markets but more investable than least developed countries.
Fund of Funds,An investment strategy of holding a portfolio of other investment funds.
Global Fund,"A mutual fund or ETF that invests in securities worldwide, including the investor's home country."
Growth Fund,A mutual fund or ETF that focuses on stocks with above-average growth potential.
Hedge Fund Strategy,"An investment approach used by hedge funds, such as long/short equity, event-driven, or global macro."
High-Yield Bond,A bond with a lower credit rating but offering higher yields to compensate for greater risk.
Index Fund,A type of mutual fund or ETF with a portfolio constructed to match or track a specific index.
Inflation-Protected Securities,Government-issued bonds designed to protect investors from inflation.
Infrastructure Fund,"A fund that invests in physical systems such as transportation, utilities, and energy."
Institutional Investor,"An organization that invests large sums of money, such as a pension fund or insurance company."
International Fund,A fund that invests in securities located outside the investor’s home country.
IPO Fund,A fund that invests in companies that have recently gone public.
Large-Cap Stock,Shares of companies with a market capitalization typically over $10 billion.
Leveraged ETF,An exchange-traded fund that uses financial derivatives and debt to amplify returns.
Lifecycle Fund,A fund designed to provide a simple investment solution through a portfolio that automatically becomes more conservative as the investor approaches retirement.
Liquidity Fund,A fund that invests in highly liquid assets to provide investors with easy access to their money.
Managed Futures,An alternative investment strategy using futures contracts as part of a diversified portfolio.
Market-Neutral Strategy,An investment strategy that seeks to avoid market risk by taking long and short positions in related securities.
Master Limited Partnership (MLP),A publicly traded partnership that combines the tax benefits of a partnership with the liquidity of public securities.
Mid-Cap Stock,Shares of companies with market capitalizations between $2 billion and $10 billion.
Momentum Investing,An investment strategy that seeks to capitalize on the continuance of existing trends in the market.
Money Market Fund,"A mutual fund that invests in short-term, high-quality debt securities."
Municipal Bond Fund,A fund that invests primarily in bonds issued by state and local governments.
Mutual Fund Share Classes,"Different types of shares in the same mutual fund, each with its own fee structure."
Natural Resource Fund,"A fund that invests in companies involved in natural resources like oil, gas, and mining."
Net Short,An investment position where total short positions exceed total long positions.
Open-End Fund,A mutual fund that continuously offers shares and stands ready to buy them back from investors.
Option Strategy,"An investment approach using options to hedge, speculate, or enhance returns."
Passive Management,An investment strategy aiming to replicate market returns rather than outperform them.
Pension Fund,A fund established to pay employees' retirement benefits.
Private Credit,Loans and credit investments made by non-bank lenders to companies or projects.
Private Equity Fund,An investment fund that pools capital to invest in private companies.
Quant Fund,A fund that uses quantitative analysis and algorithms to make investment decisions.
Real Asset,"A tangible asset with intrinsic value such as real estate, commodities, or infrastructure."
Real Estate Fund,A fund that invests in real estate or real estate-related securities.
REIT ETF,An exchange-traded fund that invests primarily in real estate investment trusts.
Retail Investor Fund,A fund designed for individual investors rather than institutions.
Risk-Parity Fund,"A portfolio strategy that allocates risk, rather than capital, equally among asset classes."
Sector Fund,"A fund that invests in a specific sector of the economy, such as technology or healthcare."
Separately Managed Account (SMA),An investment account managed by a professional investment firm for a single investor.
Small-Cap Stock,Shares of companies with market capitalizations typically between $300 million and $2 billion.
Smart Beta ETF,An ETF that uses alternative index construction rules rather than traditional market-cap weighting.
Socially Responsible Investing (SRI),An investment strategy that considers both financial return and social/environmental good.
Sovereign Wealth Fund,A state-owned investment fund made up of revenues from reserves or surplus capital.
Special Purpose Acquisition Company (SPAC),A company formed to raise capital through an IPO to acquire an existing company.
Structured Product,"A pre-packaged investment strategy based on derivatives, created to meet specific risk-return objectives."
Target-Date Fund,"A fund that automatically adjusts its asset allocation based on a selected time frame, usually retirement."
Thematic Fund,"A fund that invests in companies aligned with a particular theme, such as clean energy or AI."
TIPS,Treasury Inflation-Protected Securities issued by the U.S. government to protect against inflation.
Total Return Fund,A fund that seeks to achieve returns from both capital appreciation and income.
Tracking Error,The divergence between the price behavior of a portfolio and the price behavior of a benchmark index.
Unconstrained Bond Fund,"A bond fund with no restrictions on duration, sector, or credit quality."
Unit Trust,"An investment vehicle that pools investors’ money into a single fund, divided into units of equal value."
Value Fund,A mutual fund or ETF that invests in undervalued companies believed to be trading for less than their intrinsic value.
Venture Capital Fund,"A fund that invests in early-stage, high-growth companies with strong potential."
Volatility Fund,A fund that aims to profit from changes in market volatility.
Wealth Management Account,An investment account managed to meet the specific needs of an individual or family.
Yield Fund,A fund designed to generate income through dividends or interest payments.
Absolute Return Fund,A fund aiming to generate positive returns regardless of market direction.
Active ETF,An exchange-traded fund where the portfolio is actively managed by investment professionals.
All-Cap Fund,A fund that invests in companies of all market capitalizations.
Alpha Fund,A fund that specifically seeks to generate excess returns relative to a benchmark.
Arbitrage Fund,A fund that aims to exploit inefficiencies between related markets or securities.
Asset-Backed Security (ABS),"A security backed by a pool of assets, such as loans, leases, or receivables."
Bank Loan Fund,A mutual fund or ETF that invests primarily in bank loans made to corporations.
BDC (Business Development Company),A type of investment company that invests in small and mid-sized businesses.
Buyout Fund,A private equity fund that acquires controlling stakes in established companies.
Carbon Credit Fund,A fund investing in carbon credits or companies aligned with emission reduction strategies.
Collateralized Loan Obligation (CLO),"A security backed by a pool of loans, divided into tranches with varying risk levels."
Commodity Fund,"A fund that invests directly or indirectly in commodities like gold, oil, or agricultural products."
Convertible Arbitrage Fund,A hedge fund strategy seeking to profit from mispricings between convertible securities and their underlying stocks.
Currency Fund,A fund that invests in foreign exchange markets.
Distressed Debt Fund,A fund that invests in the bonds or securities of companies in or near bankruptcy.
Dividend Fund,A fund that focuses on stocks that regularly pay dividends.
Emerging Market Bond Fund,A fund that invests in bonds issued by developing countries.
Equity-Linked Note,A debt instrument where the return is linked to the performance of an equity index or stock.
ESG Bond Fund,"A bond fund that integrates environmental, social, and governance factors into its investment process."
ETF Wrapper,A structure that allows mutual fund strategies to be delivered through an ETF format.
Fund Wrap Program,An investment program where a single fee covers all costs of managing a portfolio of funds.
Green Bond Fund,A bond fund that invests in projects with positive environmental impacts.
Hedge Fund of Funds,A fund that invests in a portfolio of hedge funds for diversification.
Income Fund,A mutual fund or ETF designed to provide steady income through dividends and interest.
Index-Linked Bond,"A bond where payments are tied to a specific index, often inflation or equity indices."
Infrastructure Debt Fund,A fund that invests in debt instruments tied to infrastructure projects.
Leveraged Buyout Fund,A private equity fund that uses borrowed money to acquire companies.
Long/Short Equity Fund,A hedge fund that takes long positions in undervalued stocks and short positions in overvalued ones.
Managed Account,An investment account owned by an individual but managed by a professional advisor.
Mortgage-Backed Security (MBS),An investment backed by a pool of mortgages.
Multi-Asset Fund,A fund that invests across multiple asset classes to achieve diversification.
Opportunity Fund,A fund that invests in assets or companies experiencing temporary dislocation.
PE FoF,"Private Equity Fund of Funds, which invests in a portfolio of private equity funds."
Precious Metals Fund,"A fund that invests in metals like gold, silver, platinum, or palladium."
Quantitative Strategy Fund,A fund using computer models and statistical techniques to drive investment decisions.
Regional Fund,A fund that focuses on securities from a specific geographic region.
Return-Oriented Fund,"A fund designed with the primary objective of achieving maximum returns, often at higher risk."
SME Fund,A fund targeting small and medium-sized enterprises.
Special Situations Fund,A fund investing in companies undergoing significant change such as mergers or restructuring.
Strategic Bond Fund,A bond fund with flexibility across different credit qualities and maturities.
Sub-Advised Fund,A fund managed by one firm but outsourced to another for specific investment strategies.
Target Volatility Fund,A fund designed to maintain portfolio volatility within a defined range.
UCITS Fund,A European Union-regulated investment fund structure available for sale to investors across the EU.
Unit Investment Trust (UIT),An investment company that offers a fixed portfolio of securities in redeemable units.
Water Fund,"A thematic fund investing in companies involved in water utilities, treatment, and technology."
